치매안심센터명,시도,시군구,우편번호,주소1,주소2,도로명코드,법정동코드,행정동코드,위도,경도,홈페이지,전화번호,팩스번호,개소일
서울특별시강남구치매안심센터,서울특별시,강남구,06153,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터)","4층, 5층",4166442,1168010500,1168058000,37.5103126,127.0463796,gangnam.nid.or.kr,02-568-4203,02-568-4280,2018-12-18
서울특별시강동구치매안심센터,서울특별시,강동구,05397,"서울 강동구 성내로 45 (성내동, 강동구보건소)",별관 강동구치매안심센터,3124006,1174010800,1174064000,37.52954199,127.1255855,gangdong.nid.or.kr,02-489-1130,02-489-1137,2018-10-01
서울특별시강북구치매안심센터,서울특별시,강북구,01098,"서울 강북구 삼양로 335-1 (수유동, 수유보건지소)",2층 강북구치매안심센터,3108006,1130510300,1130561500,37.63341432,127.0171553,gangbuk.nid.or.kr,02-991-9830,02-991-1177,2018-11-05
서울특별시강서구치매안심센터,서울특별시,강서구,07590,서울 강서구 화곡로 371 (등촌동),3층,3005069,1150010200,1150052000,37.55695579,126.8522421,gangseo.nid.or.kr,02-3663-0943,02-3663-0909,2018-07-02
서울특별시관악구치매안심센터,서울특별시,관악구,08832,"서울 관악구 관악로 145 (봉천동, 관악구청)","별관 3, 4층",3120001,1162010100,1162052500,37.47821067,126.9515012,gwanak.nid.or.kr,02-879-4910,02-879-7910,2018-07-10
서울특별시광진구치매안심센터,서울특별시,광진구,04922,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터)",3층 광진구치매안심센터,3104006,1121510100,1121574000,37.55933773,127.0870912,gwangjin.nid.or.kr,02-450-1381,02-3425-2102,2018-07-01
서울특별시구로구치매안심센터,서울특별시,구로구,08227,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층)",213호 구로구치매안심센터,3000028,1153010600,1153072000,37.48199214,126.8923489,guro.nid.or.kr,02-2612-7041~4,02-2612-7045,2018-07-01
서울특별시금천구치매안심센터,서울특별시,금천구,08523,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터)","6층, 7 층",4151259,1154510200,1154561000,37.47021905,126.8970437,geumcheon.nid.or.kr,02-3281-9082,02-857-0330,2018-01-01
서울특별시노원구치매안심센터,서울특별시,노원구,01616,"서울 노원구 수락산로 212-20 (상계동, 마들보건지소)",4~5층,3005047,1135010500,1135062400,37.6714151,127.0552421,nowon.nid.or.kr,02-911-7778,02-911-7760,2018-01-02
서울특별시도봉구치매안심센터,서울특별시,도봉구,01331,"서울 도봉구 마들로 650 (방학동, 도봉월드상가)",4층 도봉구치매안심센터,3109006,1132010600,1132069000,37.66802835,127.0470647,dobong.nid.or.kr,02-955-3591,02-955-3596,2018-12-13
서울특별시동대문구치매안심센터,서울특별시,동대문구,02470,서울 동대문구 홍릉로 81 (청량리동),"홍릉문화복지센터 1,2층",3105018,1123010700,1123070500,37.58751632,127.0427076,dongdaemun.nid.or.kr,02-957-3062,02-957-3065,2008-04-01
