기관코드,기관명,시도,시군구,법정동,주소,유형,정원,물리치료사,작업치료사,요양보호사,사회복지사,간호사,지정일
11111000006,청운노인요양원,서울특별시,종로구,구기동,서울특별시 종로구 비봉길  76 (구기동),노인요양시설,38,1,0,18,2,1,20080625
11111000056,인자인케어센터,서울특별시,종로구,평창동,서울특별시 종로구 평창17길  26 (평창동),노인요양시설,42,1,0,20,3,0,20100701
11111000060,평창동시니어센터,서울특별시,종로구,평창동,서울특별시 종로구 평창15길  10 (평창동),노인요양시설,68,1,0,37,1,2,20101125
11111000068,아름다운뜰안에 요양원,서울특별시,종로구,평창동,서울특별시 종로구 평창21길  70 (평창동),노인요양시설,38,1,0,20,2,0,20110816
11111000076,서울여자간호대학교 휴먼캐슬,서울특별시,종로구,평창동,서울특별시 종로구 평창길  318 (평창동),노인요양시설,38,0,1,17,2,2,20130530
11111000078,세검정실버홈,서울특별시,종로구,평창동,서울특별시 종로구 평창2길  5 (평창동),노인요양시설,23,0,0,11,1,0,20140208
11111000087,해피움시니어스타워(종로점),서울특별시,종로구,홍지동,서울특별시 종로구 홍지문길  29 (홍지동),노인요양시설,77,0,0,1,0,0,20150817
11111000088,아름다운실버홈,서울특별시,종로구,평창동,서울특별시 종로구 평창길  123 (평창동),노인요양공동생활가정,9,0,0,8,0,0,20151208
11111000135,아름다운재활요양원,서울특별시,종로구,평창동,서울특별시 종로구 평창25길  8 (평창동),노인요양시설,58,2,0,29,2,0,20230315
11111000155,아름다운시니어스 요양원,서울특별시,종로구,홍지동,서울특별시 종로구 홍지문길  29 (홍지동),노인요양시설,77,1,1,55,4,1,20260501
11114000030,남산실버복지센터,서울특별시,중구,신당동,서울특별시 중구 동호로5길  189 (신당동),노인요양시설,14,0,0,7,3,0,20100202
11114000040,구립중구노인요양센터,서울특별시,중구,장충동2가,서울특별시 중구 필동로  96 (장충동2가),노인요양시설,61,1,0,28,2,1,20120928
11117000054,구립용산노인전문요양원,서울특별시,용산구,효창동,서울특별시 용산구 효창원로93길  51 (효창동),노인요양시설,91,1,0,42,3,7,20101030
11117000092,구립한남노인요양원,서울특별시,용산구,한남동,서울특별시 용산구 독서당로  103 (한남동),노인요양시설,81,1,0,38,4,0,20140901
11120000010,시립동부노인전문요양센터,서울특별시,성동구,홍익동,서울특별시 성동구 마장로23길  12 (홍익동),노인요양시설·치매전담실가형1실·치매전담실가형2실·치매전담실가형3실·치매전담실가형4실·치매전담실가형5실·치매전담실가형6실·치매전담실가형7실·치매전담실가형8실,168,3,3,145,8,16,20080619
11120000056,한마음너싱홈,서울특별시,성동구,용답동,서울특별시 성동구 용답중앙길  91 (용답동),노인요양공동생활가정,9,0,0,4,0,0,20091102
11120000065,금호노인요양원,서울특별시,성동구,금호동4가,"서울특별시 성동구 금호로  45 B2,201,301호 (금호동4가)",노인요양시설,46,1,0,20,2,2,20100301
11120000093,이암요양원,서울특별시,성동구,상왕십리동,"서울특별시 성동구 마장로  125 (상왕십리동, 천리혜성교회 5층,6층)",노인요양시설,49,0,1,15,1,0,20120810
11120000110,서울숲 요양원,서울특별시,성동구,성수동2가,"서울특별시 성동구 뚝섬로  401-2 4층 (성수동2가, 일산빌딩)",노인요양공동생활가정,9,0,0,3,0,0,20140411
11120000126,서울숲재활요양원,서울특별시,성동구,성수동2가,서울특별시 성동구 뚝섬로  401-2 3층층 (성수동2가),노인요양공동생활가정,9,0,0,3,0,0,20151001
11120000180,송정요양원,서울특별시,성동구,행당동,서울특별시 성동구 고산자로8길  5 (행당동),노인요양시설,49,0,1,22,3,0,20220525
11120000190,금호무지개요양원,서울특별시,성동구,금호동2가,서울특별시 성동구 금호로13길  17 (금호동2가),노인요양공동생활가정,9,0,0,4,0,0,20221230
11121500005,광진소규모요양시설,서울특별시,광진구,구의동,서울특별시 광진구 자양로51길  11-25 (구의동),노인요양시설,29,0,0,13,1,1,20080609
