시설유형,시설종류,시설명,시도,시군구,주소
정신건강기관,중독관리통합지원센터,(재)천주의성요한병원,광주광역시,북구,"광주광역시 북구 태봉로 32, 유동 115-1"
정신건강기관,기초정신건강복지센터,(학)일송학원 한림대학교성심병원,,,관평로170번길 22
정신건강기관,정신재활시설,가득한집,서울특별시,금천구,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)"
정신건강기관,정신재활시설,가람슬기,서울특별시,광진구,"서울특별시 광진구 천호대로 116길 109, 301"
정신건강기관,정신재활시설,가온길,서울특별시,노원구,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)"
정신건강기관,정신재활시설,가온누리,충청남도,아산시,충청남도 아산시 번영로 169번길 6-5
정신건강기관,자살예방센터,가평군자살예방센터,경기도,가평군,경기도 가평군 가평읍 가화로 155-15
정신건강기관,정신요양시설,가평꽃동네 정신요양원,경기도,가평군,경기도 가평군 조종면 꽃동네길 60
정신건강기관,기초정신건강복지센터,강남구 정신건강복지센터,서울특별시,강남구,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층"
정신건강기관,기초정신건강복지센터,강릉시정신건강복지센터,,,"강릉시 남구길 23번길24 3층,4층"
정신건강기관,중독관리통합지원센터,강릉중독관리통합지원센터,강원도,강릉시,강원도 강릉시 용지로144 리치빌딩 4층
정신건강기관,기초정신건강복지센터,강북구 정신건강복지센터,서울특별시,강북구,서울특별시 강북구 삼양로19길 154 삼각산분소 3층
정신건강기관,정신재활시설,강서그룹홈,서울특별시,강서구,서울특별시 강서구 초록마을로16길 20
정신건강기관,정신재활시설,강서양지,서울특별시,강서구,"서울특별시 강서구 등촌로35 가길 26, 301호"
정신건강기관,광역정신건강복지센터,강원대학교병원,강원도,춘천시,강원도 춘천시 춘천로 306-5
정신건강기관,기초정신건강복지센터,강원대학교병원,강원도,춘천시,강원도 춘천시 효제길 35
정신건강기관,자살예방센터,강원도자살예방센터,강원도,춘천시,강원도 춘천시 춘천로 306-5 유칭프라자 3층
정신건강기관,기초정신건강복지센터,강진군 정신건강복지센터,전라남도,강진군,전라남도 강진군 강진읍 목리길11
정신건강기관,정신요양시설,강화정신요양원,인천광역시,강화군,인천광역시 강화군 선원면 고식이길 20번길 19-3
정신건강기관,기초정신건강복지센터,거제시 정신건강복지센터,경상남도,거제시,경상남도 거제시 수양로 506
정신건강기관,기초정신건강복지센터,거창군 정신건강복지센터,경상남도,거창군,경상남도 거창군 거창읍 거함대로 3079
정신건강기관,기초정신건강복지센터,건국대학교 충주병원,충청북도,충주시,충청북도 충주시 국원대로78 2층 
정신건강기관,기초정신건강복지센터,건양대학교병원,대전광역시,서구,대전광역시 서구 만년로 74 서구보건소 6층
정신건강기관,정신재활시설,경기다사모,경기도,수원시 팔달구,경기도 수원시 팔달구 매산로89
정신건강기관,기초정신건강복지센터,경기도 기초정신건강복지센터,경기도,광주시,경기도 광주시 파발로 194번지
정신건강기관,기초정신건강복지센터,경기도의료원 의정부병원,경기도,의정부시,경기도 의정부시 범골로 131 의정부시보건소 3층
정신건강기관,중독관리통합지원센터,경기도의료원 의정부병원,경기도,의정부시,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층"
정신건강기관,자살예방센터,경기도자살예방센터,경기도,수원시 장안구,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층
정신건강기관,기초정신건강복지센터,경농의료재단 양산병원,경상남도,양산시,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터"
정신건강기관,기초정신건강복지센터,경북대학교 간호과학연구소,경상북도,구미시,경상북도 구미시 선산대로 111
정신건강기관,기초정신건강복지센터,경북대학교 간호대학,경상북도,영천시,경상북도 영천시 조양공원길 21
정신건강기관,기초정신건강복지센터,경북대학교병원,대구광역시,중구,"대구광역시 중구 태평로 45, 중구보건소 3층"
정신건강기관,기초정신건강복지센터,경산복지재단,경기도,화성시,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층
