연번,의료기관명,요양종별,관계 행정기관,근거 법령,설립형태,응급지정,허가병상수,주소,홈페이지,대표전화,FAX
1,서울대학교병원,상급종합병원,교육부,서울대학교병원 설치법,공립(기타),권역응급의료센터,1616,서울특별시 종로구 대학로 101 (연건동),www.snuh.org,1588-5700,1588-5700
2,서울적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,292,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",https://www.rch.or.kr/web/rchseoul/main/,02-2002-8000,02-2002-8000
3,서울특별시 동부병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시군구립),지역응급의료기관,201,서울특별시 동대문구 무학로 124 (용두동),www.dbhosp.go.kr,02-920-9114,02-920-9114
4,경찰병원,종합병원,경찰청,경찰청과 그 소속기관 직제,국립,지역응급의료기관,377,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",www.nph.go.kr,02-3400-1114,02-3400-1114
5,한국보훈복지의료공단 중앙보훈병원,종합병원,국가보훈부,한국보훈복지의료공단법,특수법인,지역응급의료센터,987,서울특별시 강동구 진황도로61길 53 (둔촌동),http://seoul.bohun.or.kr,02-2225-1111,02-2225-1114
6,서울특별시보라매병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),지역응급의료센터,765,서울특별시 동작구 보라매로5길 20 (신대방동),http://www.brmh.org,02-870-2114,02-870-2114
7,한국원자력의학원원자력병원,종합병원,과학기술정보통신부,방사선 및 방사성동위원소 이용진흥법,공립(기타),지역응급의료기관,483,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",www.kirams.re.kr,02-970-2114,02-970-2114
8,국립중앙의료원,종합병원,국립중앙의료원,국립중앙의료원의 설립 및 운영에 관한 법률,특수법인,지역응급의료센터,499,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",www.nmc.or.kr,02-2260-7114,02-2260-7114
9,서울특별시서울의료원,종합병원,서울특별시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),권역응급의료센터,651,서울특별시 중랑구 신내로 156 (신내동),http://www.seoulmc.or.kr/,02-2276-7000,02-2276-7000
10,서울특별시서남병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),지역응급의료기관,297,서울특별시 양천구 신정이펜1로 20 (신정동),https://www.seoulsnh.or.kr/index.asp,1566-6688,1566-6688
11,서울특별시서북병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,368,서울특별시 은평구 갈현로7길 49 (역촌동),https://sbhosp.seoul.go.kr/,02-3156-3000,02-3156-3000
12,서울특별시어린이병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,208,서울특별시 서초구 헌릉로 260 (내곡동),https://childhosp.seoul.go.kr/,02-570-8000,02-570-8000
13,서울지구병원,병원,국방부,국군조직법,군병원,,30,서울특별시 종로구 삼청로10길 13 (삼청동),,02-397-3990,1688-6488
14,국립재활원,병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,264,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",www.nrc.go.kr,02-901-1700,02-901-1700
15,서울특별시 북부병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,200,서울특별시 중랑구 양원역로 38 (망우동),www.seoulnmh.net,02-2036-0200,02-2036-0200
16,한국보훈복지의료공단 서울요양병원,요양병원,국가보훈부,한국보훈복지의료공단법,공립(기타),,396,"서울특별시 강동구 진황도로61길 53, 서울요양병원 (둔촌동)",https://seoulcare.bohun.or.kr,02-2225-1234,02-2225-1123
17,푸르메재단 넥슨어린이재활병원,요양병원,서울특별시,장애인 건강권 및 의료접근성 보장에 관한 법률,공립(시군구립),,38,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",http://www.purmehospital.org/,02-6070-9000,02-6070-9077
18,강남구립행복요양병원,요양병원,서울특별시,서울특별시 강남구 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,300,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",http://www.gangnamguhospital.kr/,02-6053-2114,02-6053-2119
19,서울특별시은평병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,171,서울특별시 은평구 백련산로 90 (응암동),http://ephosp.seoul.go.kr,02-300-8114,02-300-8114
20,국립정신건강센터,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,200,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",www.ncmh.go.kr,02-2204-0114,02-2204-0114
21,서울대학교치과병원,치과병원,교육부,서울대학교치과병원 설치법,공립(기타),,40,서울특별시 종로구 대학로 101 (연건동),https://www.snudh.org/,02-2072-2655,1522-2700
22,서울특별시장애인치과병원,치과병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,0,서울특별시 성동구 마장로 207 (홍익동),http://www.sdh.go.kr/,02-2282-0001,02-2282-0001
23,관악서울대학교치과병원,치과병원,교육부,서울대학교치과병원 설치법,공립(기타),,0,"서울특별시 관악구 관악로 1, 지1~3층 (신림동)",https://www.snudhgw.org/gw/main/main.do,02-6256-3900,
24,성동재활의원,의원,서울특별시,서울특별시 성동구립 사회복지시설 등 설치 및 위탁운영에 관한 조례,공립(시군구립),,0,서울특별시 성동구 뚝섬로1길 43 (성수동1가),https://blog.naver.com/sd_clinic,02-2204-9970,
25,근로복지공단 서울의원,의원,고용노동부,산업재해보상보험법,공립(기타),,0,"서울특별시 영등포구 국회대로 612, 코레일유통 사옥 20층 (당산동3가)",https://www.comwel.or.kr/seoulclinic/index.jsp,02-2670-0202,02-2670-0202
26,부산대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,1048,부산광역시 서구 구덕로 179 (아미동1가),http://www.pnuh.or.kr/pnuh,051-240-7000,051-240-7000
27,부산광역시의료원,종합병원,부산광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,543,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",www.busanmc.or.kr,051-507-3000,051-507-3000
28,한국보훈복지의료공단 부산보훈병원,종합병원,국가보훈부,한국보훈복지의료공단법,특수법인,지역응급의료기관,476,부산광역시 사상구 백양대로 420 (주례동),http://busan.bohun.or.kr,051-601-6000,051-601-6000
29,동남권원자력의학원원자력병원,종합병원,과학기술정보통신부,방사선 및 방사성동위원소 이용진흥법,공립(기타),지역응급의료기관,246,부산광역시 기장군 장안읍 좌동길 40,https://www.dirams.re.kr/,051-720-5114,051-720-5992
30,부산시립정신병원,정신병원,부산광역시,부산광역시립정신병원 설치 및 운영 조례,공립(시도립),,306,부산광역시 사상구 학감대로39번길 104-36 (학장동),www.bmmh.or.kr,051-312-2288,051-312-2288
31,부산시노인전문제1병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,200,부산광역시 북구 함박봉로 98 (만덕동),www.busangh.co.kr,051-342-7272,051-342-7272
32,부산노인전문제2병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,186,부산광역시 연제구 월드컵대로 359 (거제동),www.busangh.or.kr,051-6072-0758,051-607-2075
33,부산노인전문제3병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,251,부산광역시 해운대구 해운대로469번가길 77 (우동),www.busangh.com,051-780-5555,051-780-5555
34,부산노인전문제4병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,210,부산광역시 사하구 동매로44번길 4 (하단동),www.부산노인전문제4병원.com,051-202-1370,051-202-1370
35,한국보훈복지의료공단 부산요양병원,요양병원,국가보훈부,한국보훈복지의료공단법,특수법인,,183,부산광역시 사상구 백양대로 420 (주례동),https://www.facebook.com/vetbusan,051-601-8600,
36,근로복지공단 부산의원,의원,고용노동부,산업재해보상보험법,공립(기타),,0,"부산광역시 부산진구 자유평화로 11, 누리엔 16층 (범천동)",https://www.comwel.or.kr/busanclinic/index.jsp,051-790-3300,051-790-3300
37,인천광역시의료원,종합병원,인천광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,315,"인천광역시 동구 방축로 217-  (송림동,217)",http://www.icmc.or.kr/,032-580-6000,032-580-6000
38,경기도의료원의정부병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,203,경기도 의정부시 흥선로 142 (의정부동),www.medical.or.kr/uijeongbu/index.do,031-828-5000,031-828-5000
39,경기도의료원포천병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,150,경기도 포천시 포천로 1648 (신읍동),www.medical.or.kr/pocheon/index.do,031-539-9114,031-539-9114
40,경기도의료원파주병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,200,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",www.medical.or.kr/paju/index.do,031-940-9100,031-940-9100
41,경기도의료원 안성병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,201,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",www.medical.or.kr/ansung/index.do,031-8046-5000,031-8046-5000
42,국민건강보험공단일산병원,종합병원,보건복지부,국민건강보험법,공립(기타),권역응급의료센터,766,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",www.nhimc.or.kr,1577-0013,031-900-0114
43,국립암센터,종합병원,보건복지부,암관리법,공립(기타),지역응급의료기관,519,경기도 고양시 일산동구 일산로 323 (마두동),www.ncc.re.kr,031-920-0114,1588-8110
44,국군수도병원,종합병원,국방부,국군조직법,군병원,지역응급의료기관,681,경기도 성남시 분당구 새마을로177번길 81 (율동),https://afmd.mnd.go.kr/mbshome/mbs/afmd/,031-725-6075,1688-9151
45,분당서울대학교병원,상급종합병원,교육부,서울대학교병원 설치법,공립(기타),권역응급의료센터,1231,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",www.snubh.org,031-787-2114,1588-3369
46,경기도의료원 수원병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,167,경기도 수원시 장안구 수성로245번길 69 (정자동),www.medical.or.kr/suwon/index.do,031-888-0114,031-888-0114
47,근로복지공단안산병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,380,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",www.comwel.or.kr/ansan,031-500-1114,031-500-1114
48,경기도의료원 이천병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,206,경기도 이천시 경충대로 2742 (관고동),www.medical.or.kr/icheon/index.do,031-630-4200,031-630-4200
49,근로복지공단인천병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),,285,"인천광역시 부평구 무네미로 446-  (구산동,(구산동))",www.comwel.or.kr/incheon,032-500-0114,032-500-0114
50,성남시의료원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,299,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",https://www.scmc.kr,031-738-7000,031-738-7000
51,인천적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,122,"인천광역시 연수구 원인재로 263 (연수동,263)",https://www.rch.or.kr/web/rchincheon/main,032-899-4000,032-899-4000
52,국군포천병원,병원,국방부,국군조직법,군병원,,100,경기도 포천시 화현면 화동로 564,https://demis.mil.kr/afmc/,031-530-1203,1688-9164
53,국군양주병원,병원,국방부,국군조직법,군병원,,342,경기도 양주시 은현면 화합로 1133,https://demis.mil.kr/afmc/,031-857-0963,1688-9163
54,국군고양병원,병원,국방부,국군조직법,군병원,,150,경기도 고양시 덕양구 혜음로 215 (벽제동),https://demis.mil.kr/afmc/,031-963-6657,1688-9162
55,서울특별시 백암정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,238,경기도 용인시 처인구 백암면 용천로71번길 30,www.baekammh.or.kr,031-332-3194,031-332-3194
56,인천광역시의료원백령병원,병원,인천광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,30,"인천광역시 옹진군 백령면 백령로 233, 인천광역시의료원 백령병원",http://www.icmc.or.kr/,032-836-1731,032-836-1731
57,서울특별시축령정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,206,경기도 남양주시 수동면 외방로172번길 58,www.crmh.or.kr,031-592-6661,031-592-6661
58,국립교통재활병원,병원,국토교통부,자동차손해배상보장법,국립,,268,경기도 양평군 양평읍 중앙로 260,https://www.ntrh.or.kr,031-580-5555,031-580-5555
59,국군구리병원,병원,국방부,국군조직법,군병원,,42,"경기도 구리시 인창2로 177 (인창동, 국군구리병원)",https://demis.mil.kr/afmc/,031-554-0940,1688-9161
60,한국보훈복지의료공단 인천보훈병원,병원,국가보훈부,한국보훈복지의료공단법,특수법인,,137,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 지(1,2),1~7층 (용현동)",http://incheon.bohun.or.kr,032-363-9800,032-363-9800
61,경인권역재활병원,병원,대한적십자사,"장애인복지법, 대한적십자사 조직법",공립(기타),,120,인천광역시 연수구 원인재로 263 (연수동),https://www.rch.or.kr/web/rchkyungin/main,032-899-4591,032-899-4000
62,인천광역시립노인치매요양병원,요양병원,인천광역시,인천광역시립노인치매요양병원 설치 및 운영 조례,공립(시군구립),,137,인천광역시 서구 심곡로132번길 21-1 (심곡동),https://icesh.co.kr/,032-562-5101,
63,경기도립노인전문동두천병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,의료법인,,236,경기도 동두천시 탑신로 536 (탑동동),gdsilver.co.kr,031-860-4114,031-860-4114
64,경기도립노인전문여주병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,190,경기도 여주시 북내면 도예로 361-14,www.noinhospital.or.kr,031-886-4100,031-886-4100
65,경기도립노인전문용인병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,204,경기도 용인시 기흥구 중부대로 940 (상하동),www.silvernet.or.kr,031-288-0400,031-288-0400
66,인천제2시립노인치매요양병원,요양병원,인천광역시,인천광역시립노인치매요양병원 설치 및 운영 조례,공립(시도립),,184,"인천광역시 계양구 드림로 852, 노인치매요양병원 (갈현동)",http://www.hallymsh.net/,032-554-8300,032-554-8300
67,경기도립노인전문남양주병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,237,경기도 남양주시 수동면 외방로172번길 50,www.gngh.or.kr,031-590-5000,031-590-5000
68,경기도립노인전문시흥병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,259,"경기도 시흥시 하중로 285, 경기도립 노인전문 시흥병원 (광석동)",www.gshospital.com,031-500-7100,031-500-7100
