시도,시군구,시설유형,법인,시설명,주소,전화,종사자정원,종사자현원
서울,강남구,복지관,사복)사회복지법인 대한불교조계종 봉은,강남장애인복지관,강남구 개포로 605,02-445-8006,30,30
서울,강남구,복지관,사복)밀알복지재단,강남세움복지관,강남구 광평로60길 22 ,02-2184-8700,47,47
서울,강남구,복지관,사복)자애종합복지원,성모자애복지관,강남구 헌릉로757길 35,02-3411-9581,37,46
서울,강남구,복지관,사복)한국청각장애인복지회,청음복지관,강남구 봉은사로50길 6,02-556-3493,37,34
서울,강남구,복지관,충현복지재단,충현복지관,강남구 논현로98길 16,02-2192-0600,42,57
서울,강남구,복지관,사복)하상복지재단,하상장애인복지관,강남구 개포로 613,02-451-6000,35,35
서울,강동구,복지관,푸르메,서울장애인종합복지관,강동구 고덕로 201,02-440-5700,91,90
서울,강동구,복지관,재단법인부산성베네딕도수녀회성분도복지관,성분도복지관,경기 광주시 도척면 국사봉로 159-10,031-799-0300,30,32
서울,강동구,복지관,한국시각장애인복지재단,한국시각장애인복지관,강동구 구천면로 645,02-440-5200,41,40
서울,강동구,복지관,사)홀트아동복지회,홀트강동장애인복지관,강동구 아리수로 93길 41,02-2251-6100,31,31
서울,강북구,복지관,사복)대한불교조계종사회복지재단,강북장애인복지관,강북구 오현로 189,02-989-4215,40,40
서울,강서구,복지관,사단법인)한국뇌성마비복지회,강서뇌성마비복지관,강서구 방화대로45길69,02-2662-3491,43,42
서울,강서구,복지관,사복)기쁜우리월드,기쁜우리복지관,강서구 허준로65,02-3665-3831,36,36
서울,강서구,복지관,사복)성요한복지회,늘푸른나무복지관,강서구 허준로 5길 37,02-3661-3401,32,34
서울,관악구,복지관,실로암시각장애인복지회,실로암시각장애인복지관,관악구 남부순환로1717,02-880-0500,39,39
서울,관악구,복지관,사회복지법인승가원,관악구장애인복지관,관악구 남부순환로1914,02-877-0750,34,34
서울,광진구,복지관,사복)한국소아마비협회,정립회관,광진구 워커힐로93,02-446-1237,46,48
서울,구로구,복지관,재)성프란치스꼬수녀회,성프란치스꼬장애인종합복지관,서울시 구로구 남부순환로 105라길 25-10,02-830-6500,30,40
서울,구로구,복지관,사복)에덴복지재단,에덴장애인복지관,구로구 고척로21가길 84-35,02-2611-1711,29,33
서울,금천구,복지관,사복)상금복지회,금천장애인복지관,금천구 시흥대로101길 17,02-6912-8010,36,36
서울,노원구,복지관,사단법인 한국시각장애인연합회,노원시각장애인복지관,서울시 노원구 덕릉로 70가길 98 ,02-950-0114,38,38
서울,노원구,복지관,한국뇌성마비복지회,뇌성마비복지관,노원구 덕릉로 70가길 96,02-932-4412,42,42
서울,노원구,복지관,사복)다운회,다운복지관,노원구 화랑로 478,02-3296-2114,29,34
서울,노원구,복지관,사단법인 한국지체장애인협회,북부장애인복지관,노원구 덕릉로70가길 96,02-092-1700,42,52
서울,노원구,복지관,대한민국상이군경회,상이군경복지관,서울특별시 노원구 덕릉로 70가길 73,02-935-6375,27,27
서울,노원구,복지관,사회복지법인 성민,성민장애인복지관,노원구 노원로 32길 30-3,02-931-7970,36,49
서울,도봉구,복지관,사회복지법인 한국장로교복지재단,도봉장애인복지관,도봉구 마들로 664-23,02-6952-1777,28,34
서울,동대문구,복지관,사복)동안복지재단,동대문장애인복지관,동대문구 청계천로521,02-927-0063,34,36
서울,동대문구,복지관,제칠일안식일예수재림교한국연합회유지재단,동문장애인복지관,동대문구 장안벚꽃로7길 5,02-2244-3100,29,29
서울,동작구,복지관,SRC,남부장애인복지관,동작구 여의대방로20나길 40,02-829-7100,56,58
서울,동작구,복지관,사)한국지적발달장애인복지협회,발달장애인복지관,동작구 여의대방로20나길39,02-840-1500,43,42
서울,동작구,복지관,사회복지법인 서울삼성원,삼성소리샘복지관,동작구 양녕로 30길 19-4,02-824-1414,39,39
서울,마포구,복지관,재단법인 마포복지재단,마포장애인복지관,마포구 성산로4길 35,02-306-6212,32,40
서울,서대문구,복지관,한국농아인협회,서대문농아인복지관,서대문구 수색로4가길 23,02-3156-6699,26,26
서울,서대문구,복지관,사)한국지체장애인협회,서대문장애인종합복지관,서대문구 북아현로 24,02-3140-3000,31,39
서울,서초구,복지관,사랑의복지재단,사랑의복지관,서초구 강남대로65길 19,02-540-6500,32,40
서울,서초구,복지관,서울가톨릭사회복지회,서초한우리정보문화센터,서울시 서초구 남부순환로 340길 15,02-2055-0909,38,47
서울,성동구,복지관,(재)성모성심수도회,성동장애인복지관,성동구 청계천로 506,02-2290-3100,37,38
서울,성북구,복지관,사복)승가원,성북장애인복지관,서울시 성북구 화랑로 130,02-915-9200,34,34
서울,성북구,복지관,사회복지법인 대한맹인복지회,성북시각장애인복지관,성북구 동소문로25가길 20,02-923-4555,30,30
서울,송파구,복지관,재단법인 기독교대한감리회유지재단,송파구방이복지관,송파구 백제고분로 37길 4,02-3432-0477,26,28
서울,송파구,복지관,사복)선한목자재단,서울시각장애인복지관,송파구 삼학사로 19길 27,02-422-8108,27,27
서울,송파구,복지관,함께하는 복지,송파인성장애인종합복지관,송파구 마천로61길 26,02-431-8881,27,25
서울,양천구,복지관,대한예수교장로회총회(합동측) 복지재단,양천해누리복지관,서울시양천구목동동로159,02-2061-2500,42,47
서울,영등포구,복지관,대한불교조계종사회복지재단,영등포장애인복지관,영등포구 버드나루로22,02-3667-7979,45,45
서울,용산구,복지관,영락사회복지재단,용산장애인복지관,용산구 효창원로93길 49,02-707-1970,31,31
서울,은평구,복지관,사복)엔젤스헤이븐,서부장애인복지관,은평구 갈현로11길 30,02-351-3982,40,40
서울,은평구,복지관,사복)굿피플우리복지재단,은평구립우리장애인복지관,은평구 녹번로 1길 13,02-6951-0301,37,37
서울,종로구,복지관,재단법인 푸르메,종로장애인복지관,종로구 자하문로89,02-6395-7070,36,36
서울,중구,복지관,사회복지법인 서울가톨릭사회복지회,서울특별시중구장애인복지관,중구 퇴계로 460,02-2235-8630,26,27
서울,중랑구,복지관,사회복지법인 유린보은동산,원광장애인복지관,서울시 중랑구 신내로56,02-438-2691,38,43
부산,금정구,복지관,부산광역시금정구장애인협회,금정구장애인복지관,부산광역시 금정구 서부로 77(서동),051-523-0100,29,29
부산,기장군,복지관,한성복지재단,기장장애인 복지관,부산시 기장군 정관읍 병산로 42-15,051-727-3088,21,25
부산,남구,복지관,부산광역시 남구장애인협회,남구장애인복지관,부산광역시 남구 조각공원로11번길 38(대연동),051-626-6990,21,31
부산,남구,복지관,사회복지법인 나사함복지재단,나사함발달장애인복지관,부산시 남구 못골번영로70(대연동),051-627-8521,21,35
부산,동구,복지관,사회복지법인 행복한오늘,동구장애인복지관,부산광역시 동구 망양로 748,051-469-9756,21,21
부산,동래구,복지관,한결재단,동래구장애인복지관,부산광역시 동래구 충렬대로 386(안락동),051-522-1650,21,21
부산,부산진구,복지관,주는사랑복지재단,부산진구장애인복지관,부산광역시 부산진구 전포대로 300번길 6,051-808-8190,36,36
부산,북구,복지관,한국뇌성마비복지회부산울산경남지회,부산뇌병변복지관,부산시 북구 학사로 246,051-333-3888,24,24
