시설유형,시설종류,시설명,시도,시군구,주소
아동복지시설,지역아동센터,(별하사회적협동조합) 덕산지역아동센터,경상남도,창원시 의창구,"경상남도 창원시 의창구 동읍 용잠로 40, 2층"
아동복지시설,지역아동센터,(별하사회적협동조합) 팔용지역아동센터,경상남도,창원시 의창구,"경상남도 창원시 의창구 팔용로 448, 405호 (팔용동)"
노인여가복지시설,노인교실,(사) 대한노인회 거제시지회 부설 거제노인대학,경상남도,거제시,경상남도 거제시 계룡로13길 6 (고현동)
노인여가복지시설,노인교실,(사)공감사랑 나눔회 노인대학,충청남도,홍성군,충청남도 홍성군 광천읍 홍남로639번길 21
아동복지시설,지역아동센터,(사)나누리 나누리지역아동센터,서울특별시,동대문구,서울특별시 동대문구 전농로17길 7 (전농동)
아동복지시설,지역아동센터,(사)나눔플러스청소년연합글로벌인재스쿨,경기도,의왕시,"경기도 의왕시 부곡초등길 5, 3층 (삼동)"
노인여가복지시설,노인교실,(사)대한노인회 강남구지회부설 강남경로대학,서울특별시,강남구,서울특별시 강남구 선릉로 706 (청담동)
노인여가복지시설,노인교실,(사)대한노인회 강동구지회부설 노인교실,서울특별시,강동구,"서울특별시 강동구 양재대로 1342, 2층 (둔촌동, 강동숨;터)"
노인여가복지시설,노인교실,(사)대한노인회 거제시지회 부설 장승포노인대학,경상남도,거제시,경상남도 거제시 옥수로 14-15 (능포동)
노인여가복지시설,노인교실,(사)대한노인회 고성군지회 노인교실,강원특별자치도,고성군,강원특별자치도 고성군 간성읍 간성로67번길 7-4
노인여가복지시설,노인교실,(사)대한노인회 광주광역시 남구지회 부설 수성교실,광주광역시,남구,광주광역시 남구 대남대로308번길 32 (월산동)
노인여가복지시설,노인교실,(사)대한노인회 광주광역시 서구지회 노인교실,광주광역시,서구,광주광역시 서구 군분2로 55 (화정동)
노인여가복지시설,노인교실,(사)대한노인회 광진구지회 부설 광진노인교실,서울특별시,광진구,서울특별시 광진구 광장로 62 (광장동)
노인여가복지시설,노인교실,(사)대한노인회 노원구지회 부설 노인교실,서울특별시,노원구,서울특별시 노원구 동일로 1229 (중계동)
노인여가복지시설,노인교실,(사)대한노인회 대구동구지회 팔공어르신대학,대구광역시,동구,대구광역시 동구 동촌로 325 (신평동)
노인여가복지시설,노인교실,(사)대한노인회 동대문구지회,서울특별시,동대문구,서울특별시 동대문구 사가정로 98 (전농동)
노인여가복지시설,노인교실,(사)대한노인회 동작구지회 부설 노인교실,서울특별시,동작구,서울특별시 동작구 여의대방로24가길 2 (대방동)
노인여가복지시설,노인교실,(사)대한노인회 세종특별자치시지회부설노인대학,세종특별자치시,조치원읍,세종특별자치시 조치원읍 새내10길 96
노인여가복지시설,노인교실,(사)대한노인회 양산시지회 물금노인대학,경상남도,양산시,경상남도 양산시 물금읍 물금중앙길 4 (물금농업협동조합 대강당)
노인여가복지시설,노인교실,(사)대한노인회 양산시지회 양산노인대학,경상남도,양산시,경상남도 양산시 삼일로 129 (중부동)
노인여가복지시설,노인교실,(사)대한노인회 양양군지회 부설 노인대학,강원특별자치도,양양군,강원특별자치도 양양군 양양읍 남문1길 12
노인여가복지시설,노인교실,(사)대한노인회 양천구지회 부설 노인교실,서울특별시,양천구,서울특별시 양천구 신목로 46 (신정동)
노인여가복지시설,노인교실,(사)대한노인회 영등포구지회부설 노인교실,서울특별시,영등포구,서울특별시 영등포구 영등포로42길 21-9
노인여가복지시설,노인교실,(사)대한노인회 오산시지회 부설 오산노인대학,경기도,오산시,경기도 오산시 오산로132번길 28-5 (원동)
노인여가복지시설,노인교실,(사)대한노인회 우정연수원,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 185
노인여가복지시설,노인교실,(사)대한노인회 진해지회 진해노인대학,경상남도,창원시 진해구,경상남도 창원시 진해구 충장로 343 (경화동)
노인여가복지시설,노인교실,(사)대한노인회 창원시창원지회 대산노인대학,경상남도,창원시 의창구,"경상남도 창원시 의창구 대산면 주남로 577, 1층"
노인여가복지시설,노인교실,(사)대한노인회 창원시창원지회 동읍노인대학,경상남도,창원시 의창구,경상남도 창원시 의창구 동읍 동읍로19번길 2-10
노인여가복지시설,노인교실,(사)대한노인회 창원시창원지회 북면노인대학,경상남도,창원시 의창구,경상남도 창원시 의창구 북면 신촌본포로63번길 20-37
노인여가복지시설,노인교실,(사)대한노인회 충남연합회 직할노인대학,충청남도,홍성군,충청남도 홍성군 홍북읍 상하천로 20-1
노인여가복지시설,노인교실,(사)대한노인회 포천시지 부설 포천노인대학원,경기도,포천시,"경기도 포천시 포천로1624번길 22, 2층 (신읍동, 포천시노인회관)"
노인여가복지시설,노인교실,(사)대한노인회 포천시지회 부설 가산노인대학,경기도,포천시,경기도 포천시 가산면 선마로 223
노인여가복지시설,노인교실,(사)대한노인회 포천시지회 부설 관인노인대학,경기도,포천시,"경기도 포천시 관인면 관인로 6, 2층"
노인여가복지시설,노인교실,(사)대한노인회 포천시지회 부설 군내노인대학,경기도,포천시,경기도 포천시 군내면 청군로3290번길 16
