기관마다 어느 경로로 공고가 들어오는지 (2026-09-25)
「없음」 이 우리가 놓치는 곳입니다.

경로는 세 가지를 합쳐 봤습니다 —
  알리오·클린아이  그 API 의 기관 목록에 이름이 있는지 (알리오 353곳 · 클린아이 176곳)
  홈페이지        HOSP_SITES 에 켜져 있는지 (317곳 중 켜진 270곳)
  그 밖          실제로 그 기관 공고가 들어온 적이 있는지

경로	갈래	기관명
────────────────────────────────────────────────────────────────────────────────
★ 없음	공공보건의료	강남구립행복요양병원
★ 없음	공공보건의료	강릉원주대학교치과병원
★ 없음	공공보건의료	거창군립 노인요양병원
★ 없음	공공보건의료	거창적십자병원
★ 없음	공공보건의료	경기도립 안성휴게소의원
★ 없음	공공보건의료	경기도립노인전문 평택병원
★ 없음	공공보건의료	경기도립노인전문남양주병원
★ 없음	공공보건의료	경기도립노인전문동두천병원
★ 없음	공공보건의료	경기도립노인전문시흥병원
★ 없음	공공보건의료	경기도립노인전문여주병원
★ 없음	공공보건의료	경기도립노인전문용인병원
★ 없음	공공보건의료	경기도립정신병원
★ 없음	공공보건의료	경북권역재활병원
★ 없음	공공보건의료	경산동의한방촌 한의원
★ 없음	공공보건의료	경상북도립경산노인전문요양병원
★ 없음	공공보건의료	경상북도립안동노인전문요양병원
★ 없음	공공보건의료	경상북도포항노인전문요양병원
★ 없음	공공보건의료	경상북도포항의료원
★ 없음	공공보건의료	경인권역재활병원
★ 없음	공공보건의료	경주시립노인전문요양병원
★ 없음	공공보건의료	고령군립요양병원
★ 없음	공공보건의료	고양정신병원
★ 없음	공공보건의료	고흥군공립노인전문요양병원
★ 없음	공공보건의료	곡성군립노인전문요양병원
★ 없음	공공보건의료	공군항공우주의료원
★ 없음	공공보건의료	공립무안군노인전문요양병원
★ 없음	공공보건의료	관악서울대학교치과병원
★ 없음	공공보건의료	광양시공립노인전문요양병원
★ 없음	공공보건의료	광주보훈요양병원
★ 없음	공공보건의료	광주시립요양병원
★ 없음	공공보건의료	광주시립정신병원
★ 없음	공공보건의료	구미시립노인요양병원
★ 없음	공공보건의료	국군강릉병원
★ 없음	공공보건의료	국군고양병원
★ 없음	공공보건의료	국군구리병원
★ 없음	공공보건의료	국군대구병원
★ 없음	공공보건의료	국군대전병원
★ 없음	공공보건의료	국군양주병원
★ 없음	공공보건의료	국군춘천병원
★ 없음	공공보건의료	국군포천병원
★ 없음	공공보건의료	국군함평병원
★ 없음	공공보건의료	국군홍천병원
★ 없음	공공보건의료	국립공주병원
★ 없음	공공보건의료	국립나주병원
★ 없음	공공보건의료	국립마산병원
★ 없음	공공보건의료	국립목포병원
